Row,Data
0,Analysis
1,Analysis
3,Analysis
4,Analysis
7,Analysis
8,Analysis
9,Analysis
12,Analysis
13,Analysis
15,Analysis
16,Analysis
17,Analysis
18,Analysis
19,Analysis
20,Analysis
21,Analysis
22,Analysis
23,Analysis
25,Analysis
27,Analysis
28,Analysis
29,Analysis
30,Analysis
32,Analysis
33,Analysis
34,Analysis
36,Analysis
39,Analysis
40,Analysis
41,Analysis
42,Analysis
43,Analysis
44,Analysis
45,Analysis
46,Analysis
47,Analysis
48,Analysis
50,Analysis
51,Analysis
52,Analysis
55,Analysis
57,Analysis
59,Analysis
60,Analysis
61,Analysis
63,Analysis
64,Analysis
65,Analysis
66,Analysis
68,Analysis
69,Analysis
71,Analysis
72,Analysis
73,Analysis
74,Analysis
75,Analysis
76,Analysis
79,Analysis
80,Analysis
81,Analysis
82,Analysis
83,Analysis
84,Analysis
85,Analysis
86,Analysis
87,Analysis
88,Analysis
89,Analysis
90,Analysis
91,Analysis
92,Analysis
93,Analysis
94,Analysis
95,Analysis
96,Analysis
97,Analysis
99,Analysis
100,Analysis
101,Analysis
102,Analysis
103,Analysis
104,Analysis
105,Analysis
106,Analysis
107,Analysis
108,Analysis
109,Analysis
110,Analysis
111,Analysis
112,Analysis
113,Analysis
114,Analysis
115,Analysis
116,Analysis
117,Analysis
118,Analysis
120,Analysis
121,Analysis
122,Analysis
124,Analysis
125,Analysis
126,Analysis
127,Analysis
129,Analysis
130,Analysis
131,Analysis
132,Analysis
133,Analysis
134,Analysis
135,Analysis
136,Analysis
137,Analysis
138,Analysis
139,Analysis
141,Analysis
142,Analysis
143,Analysis
144,Analysis
145,Analysis
146,Analysis
148,Analysis
149,Analysis
150,Analysis
151,Analysis
152,Analysis
153,Analysis
154,Analysis
155,Analysis
156,Analysis
158,Analysis
159,Analysis
160,Analysis
161,Analysis
162,Analysis
163,Analysis
165,Analysis
166,Analysis
167,Analysis
168,Analysis
169,Analysis
170,Analysis
171,Analysis
172,Analysis
173,Analysis
174,Analysis
175,Analysis
176,Analysis
179,Analysis
180,Analysis
182,Analysis
184,Analysis
185,Analysis
186,Analysis
187,Analysis
188,Analysis
189,Analysis
190,Analysis
191,Analysis
193,Analysis
194,Analysis
195,Analysis
197,Analysis
198,Analysis
199,Analysis
200,Analysis
202,Analysis
203,Analysis
204,Analysis
205,Analysis
206,Analysis
207,Analysis
208,Analysis
209,Analysis
210,Analysis
211,Analysis
212,Analysis
213,Analysis
214,Analysis
215,Analysis
217,Analysis
218,Analysis
219,Analysis
220,Analysis
221,Analysis
222,Analysis
223,Analysis
228,Analysis
229,Analysis
230,Analysis
232,Analysis
233,Analysis
234,Analysis
235,Analysis
236,Analysis
237,Analysis
238,Analysis
240,Analysis
241,Analysis
242,Analysis
243,Analysis
244,Analysis
246,Analysis
247,Analysis
248,Analysis
249,Analysis
250,Analysis
251,Analysis
252,Analysis
253,Analysis
254,Analysis
256,Analysis
257,Analysis
258,Analysis
259,Analysis
260,Analysis
261,Analysis
263,Analysis
264,Analysis
265,Analysis
266,Analysis
267,Analysis
268,Analysis
270,Analysis
271,Analysis
272,Analysis
273,Analysis
274,Analysis
275,Analysis
276,Analysis
277,Analysis
278,Analysis
279,Analysis
280,Analysis
282,Analysis
283,Analysis
285,Analysis
286,Analysis
287,Analysis
288,Analysis
289,Analysis
290,Analysis
291,Analysis
292,Analysis
294,Analysis
296,Analysis
298,Analysis
300,Analysis
301,Analysis
302,Analysis
303,Analysis
304,Analysis
305,Analysis
307,Analysis
308,Analysis
309,Analysis
310,Analysis
312,Analysis
313,Analysis
314,Analysis
317,Analysis
318,Analysis
319,Analysis
320,Analysis
321,Analysis
322,Analysis
323,Analysis
